"database","scopus_id","openalex_id","title","journal","publication_year","doi","citations","abstract","authors","query_category"
"Scopus","SCOPUS_ID:105039754458",NA,"Governance, patronage, and collapse: The tangled politics of building development in Lagos, Nigeria","Cities",2026,"10.1016/j.cities.2026.107244",0,"","Okunola O.H.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105013100734",NA,"The political economy of least cost power planning in Kenya","Energy Policy",2025,"10.1016/j.enpol.2025.114819",5,"","Onsongo E.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85216878249",NA,"Knowledge for change or more of the same? The role of policy knowledge systems in the Nationally Determined Contributions of Ghana, Kenya and South Africa","Environmental Science and Policy",2025,"10.1016/j.envsci.2025.104016",0,"","Boulle M.","constituency_representation"
"Scopus","SCOPUS_ID:85213014045",NA,"Confronting shifting energy landscapes and contested domestic politics: Ghana's national oil company and the global energy transition","Energy Research and Social Science",2025,"10.1016/j.erss.2024.103901",10,"","Tyce M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:86000353146",NA,"Political accountability and development in Africa's resource economies","Extractive Industries and Society",2025,"10.1016/j.exis.2025.101634",6,"","Alence R.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105033126958",NA,"Politics of forced eviction in China-Africa relations: A case of natural resource conflict in Ghana","Extractive Industries and Society",2026,"10.1016/j.exis.2026.101905",0,"","Ziaba I.H.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105024689484",NA,"Navigating ‘mobility regimes’ through land-sea patron-client networks: The case of Fante's shark fishery in West Africa","Geoforum",2026,"10.1016/j.geoforum.2025.104519",1,"","Amadu I.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105006993737",NA,"Opportunities or risks for civic education in electoral democracies? Evidence from Nigeria","International Journal of Educational Development",2025,"10.1016/j.ijedudev.2025.103316",1,"","Demarest L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105003199835",NA,"Interventions to improve skilled birth attendance in sub-Saharan Africa. What has been done, and what has worked? A narrative synthesis","Midwifery",2025,"10.1016/j.midw.2025.104426",4,"","Edu-Mensah M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85083451227",NA,"Social network analysis of practice adoption facing outbreaks of African Swine Fever","Preventive Veterinary Medicine",2020,"10.1016/j.prevetmed.2020.105008",9,"","Govoeyi B.","constituency_representation"
"Scopus","SCOPUS_ID:105038218523",NA,"Developmental neopatrimonialism and its discontents: Rethinking EPRDF'S Ethiopia","Research in Globalization",2026,"10.1016/j.resglo.2026.100349",0,"","Tesema G.M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105037738511",NA,"The youth manifesto towards Africa’s democratization","Social Sciences and Humanities Open",2026,"10.1016/j.ssaho.2026.102844",0,"","Mosha A.","party_linkages"
"Scopus","SCOPUS_ID:105044992660",NA,"How gender, power, and sexual relations shape women's access to fish in the fish supply chain of Lake Kivu, DRC","World Development Perspectives",2026,"10.1016/j.wdp.2026.100817",0,"","Ezra M.A.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85208262300",NA,"Can donors prevent aid misallocations? Evidence from Chinese and World Bank aid","World Development",2025,"10.1016/j.worlddev.2024.106811",4,"","André P.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105024706090",NA,"Clientelist politics in Nigeria: Core voters, control and compliance","World Development",2026,"10.1016/j.worlddev.2025.107281",1,"","Zovighian D.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105039046234",NA,"The mobilization curse? How oil wealth affects the composition of resistance episodes","World Development",2026,"10.1016/j.worlddev.2026.107456",0,"","Johansen T.","party_linkages"
"Scopus","SCOPUS_ID:105034565036",NA,"Beyond Culture-Historical Models: Reframing Religious Change in Second–Third Century AD North Africa","Libyan Studies",2026,"10.1017/lis.2026.10038",0,"","D'Andrea B.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105027549302",NA,"Political Parties and Democratic Deliberation: An Introduction","PS Political Science and Politics",2026,"10.1017/S1049096525101534",1,"","Gherghina S.","party_linkages"
"Scopus","SCOPUS_ID:105029982606",NA,"When political crises result in secularization: The secularist effects of the crisis in Côte d'Ivoire","Politics and Religion",2026,"10.1017/S1755048326100273",0,"","Ngimbous J.M.","party_linkages"
"Scopus","SCOPUS_ID:85205078926",NA,"The conditional effects of party system change on economic growth in Africa","Acta Politica",2026,"10.1057/s41269-024-00366-2",0,"","Nwokora Z.","party_linkages"
"Scopus","SCOPUS_ID:85208179036",NA,"Correction to: The conditional effects of party system change on economic growth in Africa (Acta Politica, (2026), 61, 1, (104-131), 10.1057/s41269-024-00366-2)","Acta Politica",2026,"10.1057/s41269-024-00377-z",0,"","Nwokora Z.","party_linkages"
"Scopus","SCOPUS_ID:105011976787",NA,"Elite and popular basis for legitimacy of democracy in Zambia since 1991","Canadian Journal of African Studies",2025,"10.1080/00083968.2025.2492382",0,"","Sishuwa S.","party_linkages"
"Scopus","SCOPUS_ID:105019175560",NA,"An Actor-Based Perspective On Informal Cross-Border Trading","Journal of Development Studies",2026,"10.1080/00220388.2025.2569391",1,"","Larsen M.M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044777609",NA,"Anibue (“eyes open”): education, patronage, and chiefly authority in Asante","Paedagogica Historica",2026,"10.1080/00309230.2026.2700641",0,"","Brefo H.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105037501569",NA,"The Geography of Constituency Service in an Autocracy: Evidence from Cameroon","Representation",2026,"10.1080/00344893.2026.2655274",0,"","Morse Y.L.","constituency_representation"
"Scopus","SCOPUS_ID:105032907113",NA,"Hybrid resilience: the entrenchment of semi-authoritarian rule under the guise of democratic consolidation in Central Africa: a comparative analysis of Chad and Gabon 2010–2025","Round Table",2026,"10.1080/00358533.2026.2641029",0,"","Lifongo M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85211082264",NA,"How racial inclusion undermines solidarities: on race, class, immigration and political mobilization","Ethnic and Racial Studies",2025,"10.1080/01419870.2024.2433032",3,"","Jones J.","party_linkages"
"Scopus","SCOPUS_ID:85217840478",NA,"Willing to be transparent? Assessing political parties’ commitment towards regulating party aid in South Africa","Policy Studies",2026,"10.1080/01442872.2025.2464659",0,"","Thuynsma H.A.","party_linkages"
"Scopus","SCOPUS_ID:105034639591",NA,"Building from below: the role of political parties in fostering resilience in an age of democratic decline","Policy Studies",2026,"10.1080/01442872.2026.2644909",1,"","Martin-Rozumiłowicz B.","party_linkages"
"Scopus","SCOPUS_ID:105033133267",NA,"Building party resilience: improving party aid in an age of democratic decline","Policy Studies",2026,"10.1080/01442872.2026.2644910",1,"","Casal Bértoa F.","party_linkages"
"Scopus","SCOPUS_ID:105039154568",NA,"Political preferences and candidate choice in party primaries in Ghana: a conjoint survey experiment","Journal of Contemporary African Studies",2026,"10.1080/02589001.2026.2651437",0,"","Osei A.","party_linkages; responsiveness_patronage"
"Scopus","SCOPUS_ID:105036692154",NA,"Egoism of the national bourgeoisie: exploring political party formation, ego politics and the challenge of governance in South Africa","Politikon",2026,"10.1080/02589346.2026.2653202",0,"","Radebe S.","party_linkages"
"Scopus","SCOPUS_ID:105023364437",NA,"The Causes and Impact of Famo Music Gang Violence in Lesotho","Journal of Southern African Studies",2025,"10.1080/03057070.2025.2577536",0,"","Letsie T.","party_linkages"
"Scopus","SCOPUS_ID:105030959120",NA,"Elite Contestation in South Africa, 2006–2018: The Making and Unmaking of a Power Elite","Journal of Southern African Studies",2025,"10.1080/03057070.2026.2626233",0,"","Chipkin I.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85201281910",NA,"Street food vendor patronage in an emerging economy: An empirical study of undergraduates","Journal of International Food and Agribusiness Marketing",2025,"10.1080/08974438.2024.2390828",0,"","Ezeh P.C.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044173819",NA,"Postcolonial gender reckonings: far-right contestations and the struggle for gender transformation in South Africa","Journal of Gender Studies",2026,"10.1080/09589236.2026.2699186",0,"","Ndlovu H.","party_linkages"
"Scopus","SCOPUS_ID:105019982254",NA,"Accounting for Anti-corruption in Social and Environmental Accounting Research: Re-Centring Local Realities and Global Frameworks in Africa","Social and Environmental Accountability Journal",2025,"10.1080/0969160X.2025.2577680",2,"","Lauwo S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105024579610",NA,"South Africa’s non-alignment posture under the GNU: Still seeking multipolarity amid great power rivalry?","South African Journal of International Affairs",2025,"10.1080/10220461.2025.2599528",1,"","Otto L.","party_linkages"
"Scopus","SCOPUS_ID:105038343523",NA,"Linguistic Choices as Conveyors of Social Activism in the Tweets of Nigerian #EndBadGovernance Protesters","Howard Journal of Communications",2026,"10.1080/10646175.2026.2647889",0,"","Sunday A.B.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105020759447",NA,"Factors affecting the form and shape of a functional political-administrative interface in a South African coalition-led metropolitan municipality","Administrative Theory and Praxis",2025,"10.1080/10841806.2025.2577620",0,"","Du Plessis A.R.","party_linkages"
"Scopus","SCOPUS_ID:86000385208",NA,"Weak party system institutionalization and autocratization: evidence from Tunisia","Democratization",2025,"10.1080/13510347.2024.2376633",6,"","Mutlu B.E.","party_linkages"
"Scopus","SCOPUS_ID:105031499896",NA,"Democratic resilience in Africa: elections, opposition, and social movements","Democratization",2026,"10.1080/13510347.2025.2612278",1,"","Gichohi M.","party_linkages"
"Scopus","SCOPUS_ID:105029978366",NA,"The politics of mayoral reselection under centralized candidate nominations in South Africa","Democratization",2026,"10.1080/13510347.2026.2623440",0,"","Farole S.","party_linkages"
"Scopus","SCOPUS_ID:85168687683",NA,"Populism and parliamentary opposition parties: the Economic Freedom Fighters party behaviour in the South African parliament","Journal of Legislative Studies",2025,"10.1080/13572334.2023.2247757",1,"","Mancebo A.","party_linkages"
"Scopus","SCOPUS_ID:105042555874",NA,"Ethnic parties and policy coalitions: legislative position-taking in Africa","Journal of Legislative Studies",2026,"10.1080/13572334.2026.2690867",0,"","Kim E.K.","party_linkages"
"Scopus","SCOPUS_ID:85199761729",NA,"Multilateral financial flows and state–business relations in Morocco","Mediterranean Politics",2025,"10.1080/13629395.2024.2380966",0,"","Boussaid F.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044082723",NA,"Opposition learning in the Middle East and North Africa: Comparative findings on mechanisms, sources, and effects","Mediterranean Politics",2026,"10.1080/13629395.2026.2700533",0,"","Bank A.","party_linkages"
"Scopus","SCOPUS_ID:105031372379",NA,"Playing with the State: Strategies of Hustling and Redistribution in the Equatoguinean Popular Music Economy","Journal of African Cultural Studies",2026,"10.1080/13696815.2026.2622670",0,"","Infante-Amate P.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105043750312",NA,"Winnie Madikizela-Mandela Lives: Black Women, African Media, and the Subaltern Counterpublics on Mama Winnie’s Legacy","African Identities",2026,"10.1080/14725843.2026.2680269",0,"","Thames-Copeland T.","party_linkages"
"Scopus","SCOPUS_ID:105042399611",NA,"Bamiléképhobia and the production of identity under authoritarianism in Cameroon","African Identities",2026,"10.1080/14725843.2026.2684748",0,"","Pemunta N.V.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105040582468",NA,"The right words: mapping the ideological language of authoritarian populism in post-apartheid South Africa","Globalizations",2026,"10.1080/14747731.2026.2669414",0,"","Love J.","party_linkages"
"Scopus","SCOPUS_ID:105023423774",NA,"Voters’ Perceptions of and Preferences for Political Party Brands: Evidence from South Africa","Journal of Political Marketing",2025,"10.1080/15377857.2025.2589191",1,"","Chuchu T.","party_linkages"
"Scopus","SCOPUS_ID:105042663558",NA,"Political Parties and Women’s Agency: Old Challenges and New Trends: Editors’ Introduction","Journal of Women Politics and Policy",2026,"10.1080/1554477X.2026.2675174",0,"","Sacchet T.","party_linkages"
"Scopus","SCOPUS_ID:105020364776",NA,"Logics of acquiring medicines from informal retailers in four African countries","Global Health Action",2025,"10.1080/16549716.2025.2574764",1,"","Wagnild J.M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105008966222",NA,"Does Ethnic Fractionalization Lead to Polarization? Introducing a new Dataset on Communal Party Affiliations","Ethnopolitics",2025,"10.1080/17449057.2025.2516905",2,"","Fraenkel J.","party_linkages"
"Scopus","SCOPUS_ID:85176086431",NA,"Determinants of swing voting in Africa: evidence from Ghana's elections","Journal of Elections Public Opinion and Parties",2025,"10.1080/17457289.2023.2277450",3,"","Taden J.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85202559102",NA,"Regina Gelana Twala: a life written by others","Safundi",2025,"10.1080/17533171.2024.2346961",0,"","Cabrita J.","party_linkages"
"Scopus","SCOPUS_ID:85171678800",NA,"What Explains Voter Preferences in Transitional Tunisia? The Role of Particularistic Benefits","Journal of the Middle East and Africa",2023,"10.1080/21520844.2023.2244407",2,"","Benstead L.J.","constituency_representation"
"Scopus","SCOPUS_ID:85196663023",NA,"Do Islamist Parties Reach More Women? Party Institutionalization and Constituency Service in Algeria","Journal of the Middle East and Africa",2024,"10.1080/21520844.2024.2351765",0,"","Benstead L.J.","constituency_representation"
"Scopus","SCOPUS_ID:105029238802",NA,"Khedive Ismaʿil’s Imperialist Project in the Horn of Africa and Patronage for Christian Missionaries: The Case of Lazarist Catholics in the 1870s","Journal of the Middle East and Africa",2026,"10.1080/21520844.2025.2600759",0,"","Kim S.H.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105036903959",NA,"Emergence of dark kitchens and factors shaping consumer patronage: a review","Research in Hospitality Management",2025,"10.1080/22243534.2025.2529294",1,"","Kyire S.K.C.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105032897869",NA,"Political economy Nexus and Covid-19 pandemic in Africa: analysis of trans-border small scale women businesses","Cogent Social Sciences",2026,"10.1080/23311886.2024.2303808",0,"","Mbaegbu C.C.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105015821646",NA,"Politicising violent gangs in selected Southern African countries: a comparative review of violent crime","Cogent Social Sciences",2025,"10.1080/23311886.2025.2556472",1,"","Mangai M.S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105016755016",NA,"Messages Matter: How Voter Education Campaigns Affect Citizens’ Willingness to Vote for Women","Journal of Politics",2026,"10.1086/734252",0,"","Ofosu G.K.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105022950874",NA,"Solidarity and Pressure: The Story of the Irish Anti-Apartheid Movement","Solidarity and Pressure the Story of the Irish Anti Apartheid Movement",2025,"10.1093/9780191991073.001.0001",0,"","Parr C.","party_linkages"
"Scopus","SCOPUS_ID:105009197700",NA,"Voice in Local Development: Participation, Empowerment, and Accountability in Kenya","Voice in Local Development Participation Empowerment and Accountability in Kenya",2025,"10.1093/9780198930624.001.0001",1,"","Touchton M.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85199483907",NA,"WHAT DO VOTERS WANT FROM THEIR LEGISLATORS? EVIDENCE FROM GHANA","African Affairs",2024,"10.1093/afraf/adae013",9,"","Ofosu G.K.","constituency_representation"
"Scopus","SCOPUS_ID:105008690847",NA,"The Borders of Migrant and Refugee Activism in South Africa","Journal of Refugee Studies",2025,"10.1093/jrs/fead094",4,"","Vanyoro K.","party_linkages"
"Scopus","SCOPUS_ID:105018202369",NA,"When politicians feel pressure to represent: Evidence from South Africa","Parliamentary Affairs",2025,"10.1093/pa/gsae046",2,"","Mugglin L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105002718841",NA,"Consumption of herbal medicine in Sub-Sahara Africa: a case from Ghana","International Journal of Pharmaceutical and Healthcare Marketing",2025,"10.1108/IJPHM-07-2024-0067",1,"","Naatu F.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105035554027",NA,"Beyond handy: continued intention towards using same-day delivery shopping apps","International Journal of Retail and Distribution Management",2026,"10.1108/IJRDM-12-2024-0659",1,"","Cunningham N.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105038314202",NA,"Transforming West African militia networks for postwar recovery","Comparative Social Research",2025,"10.1108/S0195-6310(2010)0000027009",0,"","Reno W.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105027454989",NA,"Natural resources, international regimes and state-building: Diamonds in west Africa","Comparative Social Research",2025,"10.1108/S0195-6310(2010)0000027013",0,"","Grant J.A.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105024999929",NA,"South Africa at the End of Neoliberalism? “Gangster Capitalism”, Rentier Accumulation, and the Transformation of Labour Politics after the Failure of Industrial-Export Development","Antipode",2026,"10.1111/anti.70106",0,"","Abrams N.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044481842",NA,"Resource wealth, regional neglect and fragile peace: Rethinking the political economy of Africa's resource frontiers","Development Policy Review",2026,"10.1111/dpr.70085",0,"","Genetu Y.","responsiveness_patronage"
"Scopus","SCOPUS_ID:85186406355",NA,"Constituency Focus in Party-Centered Systems: How Individual, Party, and District-Level Factors Shape Parliamentary Questions in South Africa","Legislative Studies Quarterly",2024,"10.1111/lsq.12453",13,"","Sanches E.R.","constituency_representation"
"Scopus","SCOPUS_ID:85207026144",NA,"Closer to the people? Determinants of citizen–MP contact in Africa","Legislative Studies Quarterly",2025,"10.1111/lsq.12485",1,"","Demarest L.","responsiveness_patronage"
"Scopus","SCOPUS_ID:86000010279",NA,"Cultural Diffusion and Democracy: What Lessons in Sub-Saharan Africa's Experience?","Politics and Policy",2025,"10.1111/polp.70012",1,"","Ondoua Beyene B.","party_linkages"
"Scopus","SCOPUS_ID:85208597681",NA,"Testing the effects of merit appointments and bureaucratic autonomy on governmental performance: Evidence from African bureaucracies","Public Administration Review",2025,"10.1111/puar.13896",12,"","Fernandez S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105023312111",NA,"Natural Resources and Political Patronage in Africa: An Ethnicity Level Analysis","Review of Development Economics",2026,"10.1111/rode.70096",0,"","Bhattacharyya S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105045540117",NA,"Exploring Counter-Imaging in Online Political Advertisements During Elections Campaigns: A Case of South African Main Opposition Parties","Studies in Media and Communication",2025,"10.11114/smc.v13i4.7772",1,"","Thatelo M.T.","party_linkages"
"Scopus","SCOPUS_ID:105031970085",NA,"Catwalk to Consumer: Critical Communication Considerations for Fashion Designers to Achieve Omnichannel Success in South Africa and Germany","Studies in Media and Communication",2026,"10.11114/smc.v14i3.7951",0,"","Pooe B.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105034204197",NA,"Where Women Give Birth Is Changing in Sub-Saharan Africa: Evidence From 30 Countries Using DHS Data","Journal of Pregnancy",2026,"10.1155/jp/2785076",0,"","Bawuah A.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105038247506",NA,"Disparities of Electoral Violence in Ghana: Its Geographical Characterization and Socio-demographic and Political Implications","African Review Tanzania",2026,"10.1163/1821889x-bja10171",0,"","Dumedah G.","party_linkages"
"Scopus","SCOPUS_ID:105014726910",NA,"Foreign Policy Analysis: South Africa’s Post-Apartheid Foreign Policy","Afrika Focus",2026,"10.1163/2031356x-2025xx02",0,"","Kipo-Sunyehzi D.D.","party_linkages"
"Scopus","SCOPUS_ID:105039492605",NA,"Patronage Politicking in Africa: A Scoping Review of Emerging Issues of Clientelism and Prebendalism in South Africa, Nigeria and Zimbabwe","Afrika Focus",2026,"10.1163/2031356x-20260101",0,"","Ayodele A.A.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105044322890",NA,"The Extraversion of African Academic Journals: Donors, Dependencies, and Multinational Publishers","Africa Spectrum",2026,"10.1177/00020397261468822",0,"","Kitchen S.","responsiveness_patronage"
"Scopus","SCOPUS_ID:105029221565",NA,"Political Party Funding, State Capture, and Reforms in West African Democracies","American Behavioral Scientist",2026,"10.1177/00027642251394641",0,"","Philip S.F.","party_linkages"
